Genesis;Gen
Exodus;Ex
Leviticus;Lev
Numbers;Num
Deuteronomy;Deut
Joshua;Josh
Judges;Judg
Ruth;Rut
1 Samuel;1Sam
2 Samuel;2Sam
1 Kings;1Ki
2 Kings;2Ki
1 Chronicles;1Chron
2 Chronicles;2Chron
Ezra;Ezr
Nehemiah;Neh
Esther;Est
Job;Jo
Psalms;Ps
Proverbs;Prov
Ecclesiastes;Eccles
Song of Solomon;Song
Isaiah;Isa
Jeremiah;Jer
Lamentations;Lam
Ezekiel;Ezek
Daniel;Dan
Hosea;Hos
Joel;Joe
Amos;Amo
Obadiah;Obad
Jonah;Jon
Micah;Mic
Nahum;Nah
Habakkuk;Hab
Zephaniah;Zeph
Haggai;Hag
Zechariah;Zech
Malachi;Mal
Matthew;Matt
Mark;Mar
Luke;Luk
John;Jn
Acts;Act
Romans;Rom
1 Corinthians;1Cor
2 Corinthians;2Cor
Galatians;Gal
Ephesians;Eph
Philippians;Phil
Colossians;Col
1 Thessalonians;1Thess
2 Thessalonians;2Thess
1 Timothy;1Tim
2 Timothy;2Tim
Titus;Tit
Philemon;Philemon
Hebrews;Heb
James;James
1 Peter;1Pet
2 Peter;2Pet
1 John;1Jn
2 John;2Jn
3 John;3Jn
Jude;Jude
Revelation;Rev