German: Elberfelder (1871);elberfelder
French: Ostervald (1996 revision);ostervald
Norwegian: Det Norsk Bibelselskap (1930);bibelselskap
Chinese: Union (Traditional);union-traditional
Croatian;croatia
Latin: Nova Vulgata;newvulgate
Hebrew OT: WLC (Consonants Only);wlc-novowels
Hebrew OT: BHS (Consonants Vowels);bhs
German: Luther (1912);luther1912
Korean;korean
Esperanto;esperanto
Manx Gaelic;manxgaelic
Hebrew OT: Aleppo Codex;aleppo
King James Version;kjv
Turkish;turkish
Afrikaans 1953;afrikaans
Amharic NT;amharic
Scots Gaelic (Gospel of Mark);scotsgaelic
Hebrew OT: BHS (Consonants Only);bhs-novowels
Spanish: Reina Valera (1909);rv1909
Coptic: Bohairic NT;bohairic
Russian: Synodal Translation (1876);synodal
Romanian: Cornilescu;cornilescu
Georgian (Gospels, Acts, James);georgian
Greek NT: Textus Receptus (1550/1894) [Parsed];textus-parsed
German: Luther (1545);luther1545
Greek NT: Westcott/Hort, UBS4 variants;westcott
German: Schlachter (1951);schlachter
Spanish: Reina Valera NT (1858);rv1858
Danish;danish
Tamajaq Portions;tamajaq
Peshitta;peshitta
Coptic: New Testament;coptic
Chamorro (Psalms, Gospels, Acts);chamorro
Kabyle: NT;kabyle
Greek NT: Byzantine/Majority Text (2000) [Parsed];byzantine-parsed
Smith  Van Dyke;smith-vandyke
Ukrainian: NT (P.Kulish, 1871);ukranian
Turkish: NT (1987, 1994);turkish
French: Martin (1744);martin
Greek OT: LXX [A] Accented Roots  Parsing;lxx-parsed
Russian: Makarij Translation (Pentateuch) (1825);makarij
Czech NKB;nkb
Greek OT: LXX [A] Accented;lxx
Czech KMS;kms
Czech BKR;bkr
Latin: Vulgata Clementina;vulgate
Spanish: Sagradas Escrituras (1569);sagradas
Hebrew: Modern;modernhebrew
Armenian (Eastern): (Genesis, Exodus, Gospels);easternarmenian
Greek OT: LXX [A] Unaccented Roots  Parsing;lxx-parsed-noaccents
Estonian;estonian
Albanian;albanian
Dutch Staten Vertaling;statenvertaling
Chinese: Union (Simplified);union-simplified
Greek NT: Textus Receptus (1550/1894);textusreceptus
Wolof NT;wolof
Finnish: Pyhä Raamattu (1992);pyharaamattu
Chinese: NCV (Traditional);chinese-ncv-traditio
Finnish: Bible (1776);finnish1776
Russian: Victor Zhuromsky NT;zhuromsky
Douay-Rheims;douayrheims
Gothic (Nehemiah, NT Portions);gothic
Coptic: Sahidic NT;sahidic
Greek: Modern;moderngreek
Greek NT: Westcott/Hort, UBS4 variants [Parsed];westcott-parsed
Breton Gospels;breton
Hebrew OT: Westminster Leningrad Codex;wlc
Armenian (Western): NT;westernarmenian
French: Louis Segond (1910);ls1910
Hebrew OT: WLC (Consonants  Vowels);wlc2
Uma NT;uma
German: Elberfelder (1905);elberfelder1905
Greek OT: LXX [A] Unaccented;lxx-noaccents
Latvian New Testament;latvian
Xhosa;xhosa
Swedish (1917);swedish
Italian: Riveduta Bible (1927);riveduta
Basque (Navarro-Labourdin): NT;basque
Myanmar/Burmese: Judson (1835);judson
Greek NT: Byzantine/Majority Text (2000);byzantine
French: Darby;darby
Portuguese: Almeida Atualizada;almeida
Lithuanian;lithuanian
Italian: Giovanni Diodati Bible (1649);giovanni
Thai: from KJV;thai
Greek NT: Tischendorf 8th Ed.;tischendorf
Tagalog: Ang Dating Biblia (1905);tagalog
Finnish: Pyhä Raamattu (1933/1938);pyharaamattu1933
Vietnamese (1934);vietnamese
Chinese: NCV (Simplified);chinese-ncv-simplifi
American Standard Version;asv
World English Bible;web
Young's Literal Translation;ylt
American King James Version;akjv
Hebrew Names Version;hnv
New American Standard Bible;nasb
Amplified Bible;amplified